Unnamed: 0,game_id,season,home_team,away_team,week,season_type,team.x,team.y,url
3181,2020_17_DAL_NYG,2020,NYG,DAL,17,REG,giants,cowboys,https://www.nfl.com/plus/games/cowboys-at-giants-2020-reg-17/
255,2009_17_TEN_SEA,2009,SEA,TEN,17,REG,seahawks,titans,https://www.nfl.com/plus/games/titans-at-seahawks-2009-reg-17/
1533,2014_14_HOU_JAX,2014,JAX,HOU,14,REG,jaguars,texans,https://www.nfl.com/plus/games/texans-at-jaguars-2014-reg-14/
584,2011_04_BUF_CIN,2011,CIN,BUF,4,REG,bengals,bills,https://www.nfl.com/plus/games/bills-at-bengals-2011-reg-4/
3528,2022_04_JAX_PHI,2022,PHI,JAX,4,REG,eagles,jaguars,https://www.nfl.com/plus/games/jaguars-at-eagles-2022-reg-4/
2498,2018_07_CAR_PHI,2018,PHI,CAR,7,REG,eagles,panthers,https://www.nfl.com/plus/games/panthers-at-eagles-2018-reg-7/
1666,2015_05_ARI_DET,2015,DET,ARI,5,REG,lions,cardinals,https://www.nfl.com/plus/games/cardinals-at-lions-2015-reg-5/
1170,2013_07_NE_NYJ,2013,NYJ,NE,7,REG,jets,patriots,https://www.nfl.com/plus/games/patriots-at-jets-2013-reg-7/
2331,2017_14_DAL_NYG,2017,NYG,DAL,14,REG,giants,cowboys,https://www.nfl.com/plus/games/cowboys-at-giants-2017-reg-14/
3024,2020_06_HOU_TEN,2020,TEN,HOU,6,REG,titans,texans,https://www.nfl.com/plus/games/texans-at-titans-2020-reg-6/
2345,2017_15_ARI_WAS,2017,WAS,ARI,15,REG,redskins,cardinals,https://www.nfl.com/plus/games/cardinals-at-redskins-2017-reg-15/
3341,2021_10_JAX_IND,2021,IND,JAX,10,REG,colts,jaguars,https://www.nfl.com/plus/games/jaguars-at-colts-2021-reg-10/
3441,2021_17_LA_BAL,2021,BAL,LA,17,REG,ravens,rams,https://www.nfl.com/plus/games/rams-at-ravens-2021-reg-17/
3292,2021_06_MIN_CAR,2021,CAR,MIN,6,REG,panthers,vikings,https://www.nfl.com/plus/games/vikings-at-panthers-2021-reg-6/
442,2010_12_TB_BAL,2010,BAL,TB,12,REG,ravens,buccaneers,https://www.nfl.com/plus/games/buccaneers-at-ravens-2010-reg-12/
1704,2015_07_PHI_CAR,2015,CAR,PHI,7,REG,panthers,eagles,https://www.nfl.com/plus/games/eagles-at-panthers-2015-reg-7/
1611,2015_01_MIA_WAS,2015,WAS,MIA,1,REG,redskins,dolphins,https://www.nfl.com/plus/games/dolphins-at-redskins-2015-reg-1/
3334,2021_09_TEN_LA,2021,LA,TEN,9,REG,rams,titans,https://www.nfl.com/plus/games/titans-at-rams-2021-reg-9/
3447,2021_18_CAR_TB,2021,TB,CAR,18,REG,buccaneers,panthers,https://www.nfl.com/plus/games/panthers-at-buccaneers-2021-reg-18/
3415,2021_15_SEA_LA,2021,LA,SEA,15,REG,rams,seahawks,https://www.nfl.com/plus/games/seahawks-at-rams-2021-reg-15/
1201,2013_09_TEN_STL,2013,LA,TEN,9,REG,rams,titans,https://www.nfl.com/plus/games/titans-at-rams-2013-reg-9/
227,2009_16_CAR_NYG,2009,NYG,CAR,16,REG,giants,panthers,https://www.nfl.com/plus/games/panthers-at-giants-2009-reg-16/
213,2009_15_CLE_KC,2009,KC,CLE,15,REG,chiefs,browns,https://www.nfl.com/plus/games/browns-at-chiefs-2009-reg-15/
2490,2018_06_LAC_CLE,2018,CLE,LAC,6,REG,browns,chargers,https://www.nfl.com/plus/games/chargers-at-browns-2018-reg-6/
3132,2020_14_BAL_CLE,2020,CLE,BAL,14,REG,browns,ravens,https://www.nfl.com/plus/games/ravens-at-browns-2020-reg-14/
3351,2021_11_DAL_KC,2021,KC,DAL,11,REG,chiefs,cowboys,https://www.nfl.com/plus/games/cowboys-at-chiefs-2021-reg-11/
2504,2018_07_HOU_JAX,2018,JAX,HOU,7,REG,jaguars,texans,https://www.nfl.com/plus/games/texans-at-jaguars-2018-reg-7/
333,2010_05_GB_WAS,2010,WAS,GB,5,REG,redskins,packers,https://www.nfl.com/plus/games/packers-at-redskins-2010-reg-5/
1343,2014_01_MIN_STL,2014,LA,MIN,1,REG,rams,vikings,https://www.nfl.com/plus/games/vikings-at-rams-2014-reg-1/
3304,2021_07_NO_SEA,2021,SEA,NO,7,REG,seahawks,saints,https://www.nfl.com/plus/games/saints-at-seahawks-2021-reg-7/
1237,2013_12_MIN_GB,2013,GB,MIN,12,REG,packers,vikings,https://www.nfl.com/plus/games/vikings-at-packers-2013-reg-12/
2224,2017_06_PHI_CAR,2017,CAR,PHI,6,REG,panthers,eagles,https://www.nfl.com/plus/games/eagles-at-panthers-2017-reg-6/
1501,2014_12_DAL_NYG,2014,NYG,DAL,12,REG,giants,cowboys,https://www.nfl.com/plus/games/cowboys-at-giants-2014-reg-12/
901,2012_07_NYJ_NE,2012,NE,NYJ,7,REG,patriots,jets,https://www.nfl.com/plus/games/jets-at-patriots-2012-reg-7/
2275,2017_10_MIA_CAR,2017,CAR,MIA,10,REG,panthers,dolphins,https://www.nfl.com/plus/games/dolphins-at-panthers-2017-reg-10/
2718,2019_03_TEN_JAX,2019,JAX,TEN,3,REG,jaguars,titans,https://www.nfl.com/plus/games/titans-at-jaguars-2019-reg-3/
1824,2015_15_NYJ_DAL,2015,DAL,NYJ,15,REG,cowboys,jets,https://www.nfl.com/plus/games/jets-at-cowboys-2015-reg-15/
2201,2017_05_BAL_OAK,2017,LV,BAL,5,REG,raiders,ravens,https://www.nfl.com/plus/games/ravens-at-raiders-2017-reg-5/
2444,2018_03_NE_DET,2018,DET,NE,3,REG,lions,patriots,https://www.nfl.com/plus/games/patriots-at-lions-2018-reg-3/
1706,2015_07_SEA_SF,2015,SF,SEA,7,REG,49ers,seahawks,https://www.nfl.com/plus/games/seahawks-at-49ers-2015-reg-7/
3452,2021_18_IND_JAX,2021,JAX,IND,18,REG,jaguars,colts,https://www.nfl.com/plus/games/colts-at-jaguars-2021-reg-18/
2931,2019_19_HOU_KC,2019,KC,HOU,2,POST,chiefs,texans,https://www.nfl.com/plus/games/texans-at-chiefs-2019-post-2/
221,2009_15_NYG_WAS,2009,WAS,NYG,15,REG,redskins,giants,https://www.nfl.com/plus/games/giants-at-redskins-2009-reg-15/
1775,2015_12_PIT_SEA,2015,SEA,PIT,12,REG,seahawks,steelers,https://www.nfl.com/plus/games/steelers-at-seahawks-2015-reg-12/
